Frequency;Channel A;Channel B
(ms);(V);(V)

-37.25304425;2.32581600;0.08026368
-37.23256425;2.32581600;0.08026368
-37.21208425;2.32581600;0.08026368
-37.19160425;2.32581600;0.08026368
-37.17112425;2.32581600;0.08026368
-37.15064425;2.32581600;0.08026368
-37.13016425;2.32581600;0.08026368
-37.10968425;2.32581600;0.08026368
-37.08920425;2.32581600;0.08026368
-37.06872425;2.32581600;0.08026368
-37.04824425;2.32581600;0.08026368
-37.02776425;2.32581600;0.08026368
-37.00728425;2.32581600;0.08026368
-36.98680425;2.32581600;0.08026368
-36.96632425;2.32581600;0.08026368
-36.94584425;2.32581600;0.08026368
-36.92536425;2.32581600;0.08026368
-36.90488425;2.32581600;0.08026368
-36.88440425;2.32581600;0.08026368
-36.86392425;2.32581600;0.08026368
-36.84344425;2.32581600;0.16876740
-36.82296425;2.32581600;0.08026368
-36.80248425;2.32581600;0.16876740
-36.78200425;2.32581600;0.08026368
-36.76152425;2.32581600;0.08026368
-36.74104425;2.32581600;0.08026368
-36.72056425;2.32581600;0.08026368
-36.70008425;2.32581600;0.08026368
-36.67960425;2.32581600;0.16876740
-36.65912425;2.32581600;0.08026368
-36.63864425;2.41401400;0.16876740
-36.61816425;2.41401400;0.16876740
-36.59768425;2.32581600;0.08026368
-36.57720425;2.32581600;0.16876740
-36.55672425;2.41401400;0.16876740
-36.53624425;2.41401400;0.08026368
-36.51576425;2.32581600;0.08026368
-36.49528425;2.41401400;0.16876740
-36.47480425;2.41401400;0.16876740
-36.45432425;2.41401400;0.08026368
-36.43384425;2.32581600;0.16876740
-36.41336425;2.32581600;0.08026368
-36.39288425;2.41401400;0.08026368
-36.37240425;2.41401400;0.08026368
-36.35192425;2.41401400;0.16876740
-36.33144425;2.41401400;0.16876740
-36.31096425;2.41401400;0.08026368
-36.29048425;2.41401400;0.16876740
-36.27000425;2.41401400;0.08026368
-36.24952425;2.41401400;0.16876740
-36.22904425;2.41401400;0.16876740
-36.20856425;2.41401400;0.08026368
-36.18808425;2.41401400;0.08026368
-36.16760425;2.41401400;0.16876740
-36.14712425;2.41401400;0.16876740
-36.12664425;2.41401400;0.16876740
-36.10616425;2.41401400;0.16876740
-36.08568425;2.41401400;0.16876740
-36.06520425;2.41401400;0.08026368
-36.04472425;2.41401400;0.16876740
-36.02424425;2.41401400;0.16876740
-36.00376425;2.41401400;0.16876740
-35.98328426;2.41401400;0.16876740
-35.96280426;2.41401400;0.16876740
-35.94232426;2.41401400;0.16876740
-35.92184426;2.41401400;0.16876740
-35.90136426;2.41401400;0.16876740
-35.88088426;2.50190700;0.16876740
-35.86040426;2.50190700;0.16876740
-35.83992426;2.41401400;0.08026368
-35.81944426;2.41401400;0.16876740
-35.79896426;2.41401400;0.16876740
-35.77848426;2.41401400;0.16876740
-35.75800426;2.41401400;0.08026368
-35.73752426;2.41401400;0.08026368
-35.71704426;2.41401400;0.16876740
-35.69656426;2.41401400;0.16876740
-35.67608426;2.41401400;0.16876740
-35.65560426;2.41401400;0.16876740
-35.63512426;2.41401400;0.16876740
-35.61464426;2.41401400;0.08026368
-35.59416426;2.50190700;0.16876740
-35.57368426;2.50190700;0.16876740
-35.55320426;2.50190700;0.16876740
-35.53272426;2.41401400;0.16876740
-35.51224426;2.50190700;0.16876740
-35.49176426;2.50190700;0.16876740
-35.47128426;2.50190700;0.16876740
-35.45080426;2.50190700;0.16876740
-35.43032426;2.50190700;0.16876740
-35.40984426;2.50190700;0.16876740
-35.38936426;2.50190700;0.16876740
-35.36888426;2.41401400;0.16876740
-35.34840426;2.50190700;0.16876740
-35.32792426;2.50190700;0.16876740
-35.30744426;2.50190700;0.16876740
-35.28696426;2.50190700;0.16876740
-35.26648426;2.50190700;0.16876740
-35.24600426;2.50190700;0.16876740
-35.22552426;2.50190700;0.16876740
-35.20504426;2.50190700;0.16876740
-35.18456426;2.50190700;0.16876740
-35.16408426;2.50190700;0.08026368
-35.14360426;2.50190700;0.16876740
-35.12312426;2.50190700;0.16876740
-35.10264426;2.50190700;0.16876740
-35.08216426;2.59010600;0.16876740
-35.06168426;2.59010600;0.16876740
-35.04120426;2.59010600;0.08026368
-35.02072426;2.59010600;0.16876740
-35.00024426;2.59010600;0.16876740
-34.97976426;2.50190700;0.16876740
-34.95928426;2.59010600;0.16876740
-34.93880426;2.59010600;0.16876740
-34.91832426;2.59010600;0.16876740
-34.89784426;2.50190700;0.16876740
-34.87736426;2.59010600;0.16876740
-34.85688426;2.59010600;0.16876740
-34.83640426;2.59010600;0.16876740
-34.81592426;2.59010600;0.16876740
-34.79544426;2.50190700;0.16876740
-34.77496426;2.59010600;0.16876740
-34.75448426;2.59010600;0.16876740
-34.73400426;2.59010600;0.16876740
-34.71352426;2.59010600;0.16876740
-34.69304426;2.59010600;0.16876740
-34.67256426;2.59010600;0.16876740
-34.65208426;2.59010600;0.16876740
-34.63160426;2.59010600;0.16876740
-34.61112426;2.59010600;0.16876740
-34.59064426;2.59010600;0.16876740
-34.57016426;2.59010600;0.16876740
-34.54968426;2.59010600;0.16876740
-34.52920426;2.59010600;0.16876740
-34.50872426;2.59010600;0.16876740
-34.48824426;2.67830400;0.16876740
-34.46776426;2.59010600;0.16876740
-34.44728426;2.59010600;0.16876740
-34.42680426;2.59010600;0.16876740
-34.40632426;2.59010600;0.16876740
-34.38584426;2.59010600;0.16876740
-34.36536426;2.59010600;0.16876740
-34.34488427;2.67830400;0.16876740
-34.32440427;2.59010600;0.16876740
-34.30392427;2.67830400;0.16876740
-34.28344427;2.59010600;0.16876740
-34.26296427;2.59010600;0.16876740
-34.24248427;2.59010600;0.16876740
-34.22200427;2.59010600;0.16876740
-34.20152427;2.59010600;0.16876740
-34.18104427;2.59010600;0.16876740
-34.16056427;2.59010600;0.16876740
-34.14008427;2.67830400;0.16876740
-34.11960427;2.59010600;0.16876740
-34.09912427;2.59010600;0.16876740
-34.07864427;2.59010600;0.16876740
-34.05816427;2.67830400;0.16876740
-34.03768427;2.67830400;0.16876740
-34.01720427;2.67830400;0.16876740
-33.99672427;2.67830400;0.16876740
-33.97624427;2.67830400;0.16876740
-33.95576427;2.67830400;0.16876740
-33.93528427;2.67830400;0.16876740
-33.91480427;2.67830400;0.25727100
-33.89432427;2.67830400;0.25727100
-33.87384427;2.67830400;0.25727100
-33.85336427;2.67830400;0.25727100
-33.83288427;2.67830400;0.16876740
-33.81240427;2.67830400;0.16876740
-33.79192427;2.67830400;0.25727100
-33.77144427;2.67830400;0.25727100
-33.75096427;2.67830400;0.25727100
-33.73048427;2.67830400;0.25727100
-33.71000427;2.67830400;0.25727100
-33.68952427;2.67830400;0.25727100
-33.66904427;2.67830400;0.25727100
-33.64856427;2.67830400;0.25727100
-33.62808427;2.67830400;0.25727100
-33.60760427;2.67830400;0.34607990
-33.58712427;2.67830400;0.25727100
-33.56664427;2.67830400;0.34607990
-33.54616427;2.67830400;0.34607990
-33.52568427;2.67830400;0.25727100
-33.50520427;2.67830400;0.34607990
-33.48472427;2.67830400;0.34607990
-33.46424427;2.67830400;0.34607990
-33.44376427;2.67830400;0.34607990
-33.42328427;2.76650300;0.34607990
-33.40280427;2.67830400;0.34607990
-33.38232427;2.67830400;0.34607990
-33.36184427;2.67830400;0.34607990
-33.34136427;2.76650300;0.34607990
-33.32088427;2.67830400;0.34607990
-33.30040427;2.67830400;0.34607990
-33.27992427;2.76650300;0.34607990
-33.25944427;2.67830400;0.34607990
-33.23896427;2.76650300;0.34607990
-33.21848427;2.76650300;0.34607990
-33.19800427;2.76650300;0.34607990
-33.17752427;2.76650300;0.34607990
-33.15704427;2.67830400;0.34607990
-33.13656427;2.76650300;0.34607990
-33.11608427;2.67830400;0.34607990
-33.09560427;2.76650300;0.34607990
-33.07512427;2.67830400;0.43488880
-33.05464427;2.76650300;0.34607990
-33.03416427;2.76650300;0.34607990
-33.01368427;2.76650300;0.43488880
-32.99320427;2.76650300;0.43488880
-32.97272427;2.67830400;0.43488880
-32.95224427;2.76650300;0.43488880
-32.93176427;2.76650300;0.43488880
-32.91128427;2.76650300;0.43488880
-32.89080427;2.76650300;0.43488880
-32.87032427;2.76650300;0.43488880
-32.84984427;2.76650300;0.43488880
-32.82936427;2.76650300;0.43488880
-32.80888427;2.76650300;0.43488880
-32.78840427;2.76650300;0.43488880
-32.76792427;2.76650300;0.43488880
-32.74744427;2.76650300;0.52339240
-32.72696427;2.76650300;0.52339240
-32.70648427;2.76650300;0.52339240
-32.68600428;2.76650300;0.52339240
-32.66552428;2.76650300;0.52339240
-32.64504428;2.76650300;0.52339240
-32.62456428;2.76650300;0.52339240
-32.60408428;2.76650300;0.52339240
-32.58360428;2.76650300;0.52339240
-32.56312428;2.76650300;0.52339240
-32.54264428;2.76650300;0.52339240
-32.52216428;2.76650300;0.52339240
-32.50168428;2.76650300;0.52339240
