Time;Channel A;Channel B
(ms);(V);(V)

-22.44591866;3.73638100;1.49937400
-22.42543866;3.73638100;1.49937400
-22.40495866;3.73638100;1.41056500
-22.38447866;3.73638100;1.49937400
-22.36399866;3.73638100;1.49937400
-22.34351866;3.73638100;1.41056500
-22.32303866;3.73638100;1.41056500
-22.30255866;3.73638100;1.49937400
-22.28207866;3.73638100;1.41056500
-22.26159866;3.73638100;1.41056500
-22.24111866;3.73638100;1.41056500
-22.22063866;3.73638100;1.41056500
-22.20015866;3.73638100;1.41056500
-22.17967866;3.73638100;1.41056500
-22.15919866;3.73638100;1.41056500
-22.13871866;3.73638100;1.41056500
-22.11823866;3.73638100;1.41056500
-22.09775866;3.82458000;1.41056500
-22.07727866;3.73638100;1.41056500
-22.05679866;3.73638100;1.41056500
-22.03631866;3.73638100;1.41056500
-22.01583866;3.82458000;1.41056500
-21.99535866;3.82458000;1.41056500
-21.97487866;3.73638100;1.32175700
-21.95439866;3.82458000;1.32175700
-21.93391866;3.82458000;1.41056500
-21.91343866;3.82458000;1.32175700
-21.89295866;3.82458000;1.32175700
-21.87247866;3.82458000;1.32175700
-21.85199866;3.82458000;1.32175700
-21.83151866;3.82458000;1.32175700
-21.81103866;3.82458000;1.32175700
-21.79055866;3.82458000;1.32175700
-21.77007866;3.82458000;1.23325300
-21.74959866;3.82458000;1.32175700
-21.72911866;3.82458000;1.23325300
-21.70863866;3.82458000;1.23325300
-21.68815866;3.82458000;1.23325300
-21.66767866;3.82458000;1.23325300
-21.64719866;3.82458000;1.23325300
-21.62671866;3.82458000;1.23325300
-21.60623866;3.82458000;1.23325300
-21.58575866;3.82458000;1.23325300
-21.56527866;3.82458000;1.23325300
-21.54479866;3.82458000;1.23325300
-21.52431866;3.82458000;1.23325300
-21.50383866;3.82458000;1.23325300
-21.48335866;3.82458000;1.14444400
-21.46287866;3.82458000;1.23325300
-21.44239866;3.82458000;1.14444400
-21.42191866;3.82458000;1.23325300
-21.40143866;3.82458000;1.23325300
-21.38095866;3.82458000;1.14444400
-21.36047866;3.82458000;1.14444400
-21.33999866;3.82458000;1.14444400
-21.31951866;3.82458000;1.14444400
-21.29903866;3.82458000;1.14444400
-21.27855866;3.82458000;1.14444400
-21.25807866;3.82458000;1.14444400
-21.23759866;3.82458000;1.14444400
-21.21711866;3.82458000;1.14444400
-21.19663866;3.82458000;1.05563500
-21.17615866;3.82458000;1.14444400
-21.15567866;3.82458000;1.14444400
-21.13519866;3.82458000;1.05563500
-21.11471866;3.82458000;1.05563500
-21.09423866;3.82458000;1.05563500
-21.07375866;3.82458000;1.05563500
-21.05327866;3.82458000;1.05563500
-21.03279866;3.82458000;1.05563500
-21.01231866;3.82458000;1.05563500
-20.99183866;3.82458000;1.05563500
-20.97135866;3.82458000;1.05563500
-20.95087866;3.82458000;1.05563500
-20.93039866;3.82458000;1.05563500
-20.90991866;3.91247300;1.05563500
-20.88943867;3.82458000;1.05563500
-20.86895867;3.82458000;1.05563500
-20.84847867;3.82458000;1.05563500
-20.82799867;3.82458000;1.05563500
-20.80751867;3.91247300;1.05563500
-20.78703867;3.82458000;1.05563500
-20.76655867;3.82458000;1.05563500
-20.74607867;3.91247300;1.05563500
-20.72559867;3.82458000;1.05563500
-20.70511867;3.82458000;0.96713160
-20.68463867;3.91247300;1.05563500
-20.66415867;3.91247300;1.05563500
-20.64367867;4.00067100;0.96713160
-20.62319867;3.82458000;0.96713160
-20.60271867;3.91247300;0.96713160
-20.58223867;3.91247300;1.05563500
-20.56175867;3.91247300;1.05563500
-20.54127867;3.82458000;1.05563500
-20.52079867;3.91247300;1.05563500
-20.50031867;3.91247300;0.96713160
-20.47983867;3.91247300;0.96713160
-20.45935867;4.00067100;1.05563500
-20.43887867;4.00067100;1.05563500
-20.41839867;4.00067100;0.96713160
-20.39791867;3.91247300;0.96713160
-20.37743867;3.91247300;1.05563500
-20.35695867;3.91247300;0.96713160
-20.33647867;4.00067100;1.05563500
-20.31599867;4.00067100;0.96713160
-20.29551867;4.00067100;1.05563500
-20.27503867;4.00067100;0.96713160
-20.25455867;3.91247300;1.05563500
-20.23407867;4.00067100;1.05563500
-20.21359867;4.00067100;0.96713160
-20.19311867;4.00067100;0.96713160
-20.17263867;4.00067100;0.96713160
-20.15215867;4.00067100;1.05563500
-20.13167867;4.00067100;1.05563500
-20.11119867;4.00067100;0.96713160
-20.09071867;4.00067100;0.96713160
-20.07023867;4.00067100;0.96713160
-20.04975867;4.00067100;0.87832270
-20.02927867;4.00067100;0.96713160
-20.00879867;4.00067100;1.05563500
-19.98831867;4.00067100;0.96713160
